"location","indicator","Unit","Date","Value"
"Alabama","2 Adults (1 Working)","US $","2018","17.83"
"Alabama","2 Adults (1 Working)","US $","2019","18.16"
"Alabama","2 Adults (1 Working)","US $","2020","23.47"
"Alabama","2 Adults (1 Working)","US $","2021","22.3"
"Alabama","2 Adults (1 Working)","US $","2022","24.8"
"Alabama","2 Adults (1 Working) 1 Child","US $","2016","21.93"
"Alabama","2 Adults (1 Working) 1 Child","US $","2018","21.37"
"Alabama","2 Adults (1 Working) 1 Child","US $","2019","22.09"
"Alabama","2 Adults (1 Working) 1 Child","US $","2020","27.03"
"Alabama","2 Adults (1 Working) 1 Child","US $","2021","26.44"
"Alabama","2 Adults (1 Working) 1 Child","US $","2022","29.6"
"Alabama","2 Adults (1 Working) 2 Children","US $","2016","24.38"
"Alabama","2 Adults (1 Working) 2 Children","US $","2018","23.92"
"Alabama","2 Adults (1 Working) 2 Children","US $","2019","24.57"
"Alabama","2 Adults (1 Working) 2 Children","US $","2020","31.64"
"Alabama","2 Adults (1 Working) 2 Children","US $","2021","30.04"
"Alabama","2 Adults (1 Working) 2 Children","US $","2022","35.02"
"Alabama","2 Adults (1 Working) 3 Children","US $","2016","26.79"
"Alabama","2 Adults (1 Working) 3 Children","US $","2018","26.43"
"Alabama","2 Adults (1 Working) 3 Children","US $","2019","27.65"
"Alabama","2 Adults (1 Working) 3 Children","US $","2020","33.28"
"Alabama","2 Adults (1 Working) 3 Children","US $","2021","31.99"
"Alabama","2 Adults (1 Working) 3 Children","US $","2022","37.91"
"Alabama","2 Adults (1 Working Part Time) 1 Child","US $","2016","12.38"
"Alabama","2 Adults","US $","2016","8.3"
"Alabama","2 Adults","US $","2018","8.91"
"Alabama","2 Adults","US $","2019","9.08"
"Alabama","2 Adults","US $","2020","11.74"
"Alabama","2 Adults","US $","2021","11.15"
"Alabama","2 Adults","US $","2022","12.4"
"Alabama","2 Adults 1 Child","US $","2016","12.38"
"Alabama","2 Adults 1 Child","US $","2018","12.16"
"Alabama","2 Adults 1 Child","US $","2019","12.55"
"Alabama","2 Adults 1 Child","US $","2020","15.15"
"Alabama","2 Adults 1 Child","US $","2021","14.92"
"Alabama","2 Adults 1 Child","US $","2022","16.63"
"Alabama","2 Adults 2 Children","US $","2016","15"
"Alabama","2 Adults 2 Children","US $","2018","14.88"
"Alabama","2 Adults 2 Children","US $","2019","15.25"
"Alabama","2 Adults 2 Children","US $","2020","19.1"
"Alabama","2 Adults 2 Children","US $","2021","18.42"
"Alabama","2 Adults 2 Children","US $","2022","21.16"
"Alabama","2 Adults 3 Children","US $","2016","17.58"
"Alabama","2 Adults 3 Children","US $","2018","17.58"
"Alabama","2 Adults 3 Children","US $","2019","18.26"
"Alabama","2 Adults 3 Children","US $","2020","21.55"
"Alabama","2 Adults 3 Children","US $","2021","21.09"
"Alabama","2 Adults 3 Children","US $","2022","24.43"
"Arizona","1 Adult","US $","2016","10.74"
"Arizona","1 Adult","US $","2018","11.68"
"Arizona","1 Adult","US $","2019","12.01"
"Arizona","1 Adult","US $","2020","15.28"
